"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"745","Shigella","Reactive arthritis","65+","TotalFrictionLow",22986.2728370327,7245.03196507435,57644.5436008415
"746","Shigella","Reactive arthritis","65+","Direct",2349.67527492293,761.729943283059,5643.97573661831
"747","Shigella","Reactive arthritis","65+","Pain and suffering",15091.8621473686,4492.52451677658,40219.0815436236
"748","Shigella","Reactive arthritis","All ages","Premature mortality",2618.5238103239,278.499438809939,15071.2910617591
"749","Shigella","Reactive arthritis","All ages","HumanCapital",373877.089804265,122601.564203459,879970.145398282
"750","Shigella","Reactive arthritis","All ages","FrictionHigh",299101.671843412,98081.251362767,703976.116318626
"751","Shigella","Reactive arthritis","All ages","FrictionLow",112163.12694128,36780.4692610376,263991.043619485
"752","Shigella","Reactive arthritis","All ages","TotalHumanCapital",571028.560480081,186434.371873321,1355314.45532354
"753","Shigella","Reactive arthritis","All ages","TotalFrictionHigh",496309.590065587,161451.68082976,1182144.23253681
"754","Shigella","Reactive arthritis","All ages","TotalFrictionLow",307348.558455463,98576.6156954626,749704.739821948
"755","Shigella","Reactive arthritis","All ages","Direct",25791.658471609,8393.92312986973,61461.1252223344
"756","Shigella","Reactive arthritis","All ages","Pain and suffering",162541.509442647,48245.1588745376,430386.23774715
"757","Shigella","Irritable bowel syndrome","<5","Premature mortality",166.535518275503,1.3176768723072,2256.90840848717
"758","Shigella","Irritable bowel syndrome","<5","HumanCapital",22849.9274493625,7764.52152657579,52647.3003938505
"759","Shigella","Irritable bowel syndrome","<5","FrictionHigh",18279.94195949,6211.61722126063,42117.8403150804
"760","Shigella","Irritable bowel syndrome","<5","FrictionLow",6854.97823480876,2329.35645797274,15794.1901181551
"761","Shigella","Irritable bowel syndrome","<5","TotalHumanCapital",81204.5690277832,26784.7028409511,196025.012999399
"762","Shigella","Irritable bowel syndrome","<5","TotalFrictionHigh",76558.124606579,25201.3386875314,185894.510006133
"763","Shigella","Irritable bowel syndrome","<5","TotalFrictionLow",64857.1950181028,21052.7351823122,160928.85077471
"764","Shigella","Irritable bowel syndrome","<5","Direct",9890.08468436135,3360.03194521696,22780.1870611295
"765","Shigella","Irritable bowel syndrome","<5","Pain and suffering",47008.5856843276,14584.1025357453,123549.769458242
"766","Shigella","Irritable bowel syndrome","5-64","Premature mortality",951.658923936633,98.4493905328588,5943.0943227079
"767","Shigella","Irritable bowel syndrome","5-64","HumanCapital",171155.586833348,58159.5386377612,394350.468467347
"768","Shigella","Irritable bowel syndrome","5-64","FrictionHigh",136924.469466678,46527.6309102089,315480.374773878
"769","Shigella","Irritable bowel syndrome","5-64","FrictionLow",51346.6760500043,17447.8615913284,118305.140540204
"770","Shigella","Irritable bowel syndrome","5-64","TotalHumanCapital",565884.095766724,187799.144885689,1359990.22312654
"771","Shigella","Irritable bowel syndrome","5-64","TotalFrictionHigh",531204.939788564,175584.807382313,1282887.64412014
"772","Shigella","Irritable bowel syndrome","5-64","TotalFrictionLow",443602.833158272,144643.147876848,1093883.64464542
"773","Shigella","Irritable bowel syndrome","5-64","Direct",84924.86362123,28464.7285603294,201157.614283552
"774","Shigella","Irritable bowel syndrome","5-64","Pain and suffering",300533.251129372,93104.4446918463,793204.605204397
"775","Shigella","Irritable bowel syndrome","65+","Premature mortality",2211.81884333176,476.860658050077,9425.25765948426
"776","Shigella","Irritable bowel syndrome","65+","HumanCapital",8268.754483931,2809.76481569719,19051.5966478772
"777","Shigella","Irritable bowel syndrome","65+","FrictionHigh",6615.0035871448,2247.81185255775,15241.2773183018
"778","Shigella","Irritable bowel syndrome","65+","FrictionLow",2480.6263451793,842.929444709157,5715.47899436317
"779","Shigella","Irritable bowel syndrome","65+","TotalHumanCapital",57620.7387279041,18793.371706108,140918.842711756
"780","Shigella","Irritable bowel syndrome","65+","TotalFrictionHigh",55923.2721122214,18203.0434744977,137254.717275402
"781","Shigella","Irritable bowel syndrome","65+","TotalFrictionLow",51694.2520111252,16713.178277215,128125.333136941
"782","Shigella","Irritable bowel syndrome","65+","Direct",10139.4744499265,3414.5043041774,23763.948330895
"783","Shigella","Irritable bowel syndrome","65+","Pain and suffering",35691.0996654675,11041.2393040566,94014.5593999535
"784","Shigella","Irritable bowel syndrome","All ages","Premature mortality",4065.21821217769,967.922571411544,14864.6867518432
"785","Shigella","Irritable bowel syndrome","All ages","HumanCapital",202274.268766641,68733.8249800342,466049.365509075
"786","Shigella","Irritable bowel syndrome","All ages","FrictionHigh",161819.415013313,54987.0599840273,372839.49240726
"787","Shigella","Irritable bowel syndrome","All ages","FrictionLow",60682.2806299924,20620.1474940102,139814.809652722
"788","Shigella","Irritable bowel syndrome","All ages","TotalHumanCapital",705955.13010798,234539.349123667,1692274.87869418
"789","Shigella","Irritable bowel syndrome","All ages","TotalFrictionHigh",665021.599657571,220346.145822023,1600418.12693135
"790","Shigella","Irritable bowel syndrome","All ages","TotalFrictionLow",561691.121544163,183935.447380999,1375074.67372339
"791","Shigella","Irritable bowel syndrome","All ages","Direct",105123.213618854,35361.8350795491,246902.977774225
"792","Shigella","Irritable bowel syndrome","All ages","Pain and suffering",385374.329383535,120719.704239816,1000802.14502771
"793","Shigella","Initial and sequel disease","<5","Premature mortality",22711.1119780929,1089.81745878765,207570.478689192
"794","Shigella","Initial and sequel disease","<5","HumanCapital",128887.113582019,47645.4510567934,293926.33338006
"795","Shigella","Initial and sequel disease","<5","FrictionHigh",103109.690865615,38116.3608454347,235141.066704048
"796","Shigella","Initial and sequel disease","<5","FrictionLow",38666.1340746056,14293.635317038,88177.9000140179
"797","Shigella","Initial and sequel disease","<5","TotalHumanCapital",374450.389989857,166313.712035974,773563.204705537
"798","Shigella","Initial and sequel disease","<5","TotalFrictionHigh",347853.764023206,155540.036286728,718996.621516265
"799","Shigella","Initial and sequel disease","<5","TotalFrictionLow",280714.336175157,128283.00208046,584119.733588389
"800","Shigella","Initial and sequel disease","<5","Direct",70179.5536068336,45707.6403753531,111761.112713343
"801","Shigella","Initial and sequel disease","<5","Pain and suffering",123194.382699841,42254.2264321745,286541.430799671
"802","Shigella","Initial and sequel disease","5-64","Premature mortality",119128.159279374,17480.207684402,508806.211423857
"803","Shigella","Initial and sequel disease","5-64","HumanCapital",1055423.60300707,380411.745573335,2369755.72106509
"804","Shigella","Initial and sequel disease","5-64","FrictionHigh",844338.882405658,304329.396458668,1895804.57685208
"805","Shigella","Initial and sequel disease","5-64","FrictionLow",316627.080902122,114123.523672001,710926.716319528
"806","Shigella","Initial and sequel disease","5-64","TotalHumanCapital",2454130.81559611,1076724.19347107,5075272.03051868
"807","Shigella","Initial and sequel disease","5-64","TotalFrictionHigh",2242345.91716233,997968.108474583,4605005.87469192
"808","Shigella","Initial and sequel disease","5-64","TotalFrictionLow",1712076.02272015,795922.59311918,3440614.41112213
"809","Shigella","Initial and sequel disease","5-64","Direct",429545.888817646,272505.762245145,722507.313201542
"810","Shigella","Initial and sequel disease","5-64","Pain and suffering",783073.932049458,266378.838085342,1828418.070528
"811","Shigella","Initial and sequel disease","65+","Premature mortality",237882.317118906,50507.6793647433,819073.411665412
"812","Shigella","Initial and sequel disease","65+","HumanCapital",64501.4711086122,21866.1408110424,233312.726741405
"813","Shigella","Initial and sequel disease","65+","FrictionHigh",51601.1768868898,17492.9126488339,186650.181393124
"814","Shigella","Initial and sequel disease","65+","FrictionLow",19350.4413325837,6559.84224331273,69993.8180224216
"815","Shigella","Initial and sequel disease","65+","TotalHumanCapital",546837.970652754,262879.400908673,1183120.92276065
"816","Shigella","Initial and sequel disease","65+","TotalFrictionHigh",529976.941710649,255379.020403552,1151011.29778524
