"","Measure","Pathogen","Disease","AgeGroup","median","5%","95%"
"85","Deaths","Shigella","Irritable bowel syndrome","<5",2.92167575921935e-05,2.31171381106526e-07,0.00039594884359424
"86","Deaths","Shigella","Irritable bowel syndrome","5-64",0.000166957705953795,1.72718229005015e-05,0.00104264812679086
"87","Deaths","Shigella","Irritable bowel syndrome","65+",0.000388038393566976,8.3659764570189e-05,0.00165355397534811
"88","Deaths","Shigella","Irritable bowel syndrome","All ages",0.000713196177575033,0.000169810977440622,0.00260783978102512
"89","Deaths","Shigella","Initial and sequel disease","<5",0.00398440561019174,0.000191196045401343,0.0364158734542441
"90","Deaths","Shigella","Initial and sequel disease","5-64",0.0208996770665569,0.00306670310252667,0.0892642476182205
"91","Deaths","Shigella","Initial and sequel disease","65+",0.041733739845422,0.00886099637977952,0.143697089765862
"92","Deaths","Shigella","Initial and sequel disease","All ages",0.0817398640457362,0.0279921693486146,0.203295559880323
"93","Deaths","Toxoplasma gondii","Toxoplasmosis","<5",0.0110553517471986,9.31042858865988e-05,0.111591468215885
"94","Deaths","Toxoplasma gondii","Toxoplasmosis","5-64",0.174112256988617,0.0435479723714103,0.519012305475771
"95","Deaths","Toxoplasma gondii","Toxoplasmosis","65+",0.0699327614494095,0.00892220302084593,0.294932604584338
"96","Deaths","Toxoplasma gondii","Toxoplasmosis","All ages",0.302379988430757,0.109022960500533,0.705937901508606
"97","Deaths","Toxoplasma gondii","Initial and sequel disease","<5",0.0110553517471986,9.31042858865988e-05,0.111591468215885
"98","Deaths","Toxoplasma gondii","Initial and sequel disease","5-64",0.174112256988617,0.0435479723714103,0.519012305475771
"99","Deaths","Toxoplasma gondii","Initial and sequel disease","65+",0.0699327614494095,0.00892220302084593,0.294932604584338
"100","Deaths","Toxoplasma gondii","Initial and sequel disease","All ages",0.302379988430757,0.109022960500533,0.705937901508606
"101","Deaths","Listeria monocytogenes","Listeriosis","<5",2.42528969768462,1.33807826541815,4.10226203096045
"102","Deaths","Listeria monocytogenes","Listeriosis","5-64",0.647004078468729,0.211776413874511,1.52298864196596
"103","Deaths","Listeria monocytogenes","Listeriosis","65+",4.99308631415905,3.01178469264387,7.7894561055396
"104","Deaths","Listeria monocytogenes","Listeriosis","All ages",8.27807475132885,5.79059739573132,11.4857440435432
